Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
2/29/2016,79683,49315,MI,Grand Rapids,Kent,Byron Center,4843,217200,0.006487488,0.019239794,0.120743034,0.063701635,0.014704426,2016-02,2016-Q1,217200,0,2016-02
2/29/2016,84418,60172,IL,Chicago,Du Page,Roselle,4844,220800,0.000453104,-0.000452694,-0.004957188,0.010272932,-0.024202731,2006-08,2006-Q3,287300,-0.231465367,2003-03
2/29/2016,60654,7405,NJ,New York,Morris,Kinnelon,4845,409100,0.009375771,0.02711524,0.015892724,0.007447844,-0.015937578,2006-11,2006-Q4,495300,-0.174035938,2004-06
2/29/2016,72194,32757,FL,Orlando,Lake,Mount Dora,4846,172500,0.000580046,0.0093622,0.056338028,0.036632985,-0.029115502,2006-06,2006-Q2,239700,-0.280350438,2005-01
2/29/2016,60107,6042,CT,Hartford,Hartford,Manchester,4847,154200,0,-0.008997429,-0.024667932,-0.022858494,-0.026205695,2007-09,2007-Q3,203000,-0.240394089,2003-04
2/29/2016,70970,30228,GA,Atlanta,Henry,Hampton,4848,129700,0.001544402,0.010911925,0.123916811,0.053597903,-0.013444886,2006-10,2006-Q4,155100,-0.163765313,2000-11
2/29/2016,85928,63110,MO,St. Louis,Saint Louis City,Saint Louis,4849,148600,0.002699055,0.018505826,0.065997131,0.026474686,0.002871205,2007-01,2007-Q1,151900,-0.021724819,2006-08
2/29/2016,72876,33870,FL,Sebring,Highlands,Sebring,4850,78800,0.01025641,0.036842105,0.130559541,0.026917194,-0.05013676,2006-09,2006-Q3,144600,-0.455048409,2004-07
2/29/2016,66583,20724,MD,Washington,Prince Georges,Laurel,4851,281800,-0.002477876,0.002490217,0.007868383,0.018595078,-0.019803805,2007-02,2007-Q1,365900,-0.22984422,2005-01
2/29/2016,75398,39702,MS,Columbus,Lowndes,Columbus,4852,102200,0.002944063,0.017928287,-0.003898635,-0.02247228,0.012905946,2012-11,2012-Q4,129000,-0.207751938,2007-12
2/29/2016,99839,98516,WA,Olympia,Thurston,Lacey,4853,291900,0.004819277,0.020986359,0.097368421,0.025236207,0.004278494,2007-05,2007-Q2,300700,-0.029265048,2006-11
2/29/2016,87062,66047,KS,Lawrence,Douglas,Lawrence,4854,200000,0.002004008,0.006036217,0.044386423,-0.005604522,0.00050138,2010-02,2010-Q1,221300,-0.096249435,2007-02
2/29/2016,97713,94503,CA,Napa,Napa,American Canyon,4855,454200,0.000660939,-0.003072871,0.060471632,0.086343796,-0.033318278,2006-10,2006-Q4,654800,-0.306353085,2004-01
2/29/2016,84308,60045,IL,Chicago,Lake,Lake Forest,4856,799300,0.001252662,0.005535287,-0.006587124,0.009365461,-0.012036957,2007-04,2007-Q2,918200,-0.129492485,2004-02
2/29/2016,61002,8204,NJ,Ocean City,Cape May,Lower Township,4857,282400,0.004267425,0.006056288,0,-0.008490428,-0.021232219,2006-10,2006-Q4,355300,-0.205178722,2004-03
2/29/2016,88040,68510,NE,Lincoln,Lancaster,Lincoln,4858,135800,0.003695492,0.014189694,0.02413273,0.024876069,0.009539419,2016-02,2016-Q1,135800,0,2016-02
2/29/2016,61902,10708,NY,New York,Westchester,Bronxville,4859,723500,0.000553174,0.015581134,0.070899941,0.000470601,-0.012056108,2006-10,2006-Q4,852400,-0.151220084,2005-02
2/29/2016,60782,7735,NJ,New York,Monmouth,Union Beach,4860,230600,0.003481288,0.011847301,0.007867133,-0.003518495,-0.020648017,2006-07,2006-Q3,288500,-0.200693241,2004-06
2/29/2016,67246,22406,VA,Washington,Spotsylvania,Fredericksburg,4861,323900,-0.003691172,0.001236476,0.014724311,0.034783893,-0.029616755,2006-01,2006-Q1,437800,-0.260164459,2004-07
2/29/2016,99018,97013,OR,Portland,Clackamas,Canby,4862,312000,0.002248635,0.011345219,0.086350975,0.057243296,0.012042733,2016-02,2016-Q1,312000,0,2016-02
2/29/2016,74308,37334,TN,,Lincoln,Fayetteville,4863,93400,0.005382131,0.021881838,0.061363636,0.017119353,0.015480144,2009-04,2009-Q2,93500,-0.001069519,2009-04
2/29/2016,76994,44092,OH,Cleveland,Lake,Wickliffe,4864,110100,-0.000907441,-0.005420054,-0.029955947,-0.015261103,-0.024571901,2006-08,2006-Q3,143300,-0.231681786,1998-05
2/29/2016,69485,27701,NC,Durham,Durham,Durham,4865,117400,0.008591065,0.02712161,0.08202765,0.01200485,0.011225191,2016-02,2016-Q1,117400,0,2016-02
2/29/2016,73117,34471,FL,Ocala,Marion,Ocala,4866,145000,0.003460208,0.010452962,0.078869048,0.038227928,-0.031452897,2006-12,2006-Q4,218700,-0.336991312,2004-11
2/29/2016,58386,1501,MA,Worcester,Worcester,Auburn,4867,228500,0.005721831,0.013303769,0.048646168,0.021544178,-0.013550015,2005-07,2005-Q3,264600,-0.136432351,2004-01
2/29/2016,82420,55746,MN,Duluth,Saint Louis,Hibbing,4868,81500,0.001228501,0.009913259,0.057068742,0.004224803,0.010660665,2008-12,2008-Q4,82100,-0.007308161,2008-11
2/29/2016,99634,98221,WA,Mount Vernon,Skagit,Anacortes,4869,347500,0.003465204,0.009880849,0.083567197,0.051608028,0.007213364,2007-07,2007-Q3,348400,-0.002583238,2007-05
2/29/2016,70415,29340,SC,Gaffney,Cherokee,Gaffney,4870,68400,0.004405286,0.014836795,0.058823529,0.030708257,0.013358064,2016-02,2016-Q1,68400,0,2016-02
2/29/2016,72678,33559,FL,Tampa,Hillsborough,Lutz,4871,180000,0.001669449,0.010668164,0.060070671,0.060167892,-0.02593686,2006-08,2006-Q3,251100,-0.283154122,2005-02
2/29/2016,72774,33711,FL,Tampa,Pinellas,Saint Petersburg,4872,78300,0.005134788,0.037086093,0.126618705,0.026803947,-0.057657989,2006-07,2006-Q3,146600,-0.465893588,2003-05
2/29/2016,88657,70535,LA,Opelousas,Saint Landry,Eunice,4873,115300,0,0.000868056,0.012291484,0.047325415,0.039324882,2013-07,2013-Q3,120800,-0.045529801,2013-06
