Address,Name,CUISINE DESCRIPTION
8103 ROOSEVELT AVENUE 11372,el picosito bar lounge,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
8115 NORTHERN BLVD 11372,bocaito cafe & wine bar,Spanish
813 8 AVENUE 10019,west end bar & grill,American
817 METROPOLITAN AVENUE 11211,reclamation bar,American
8172 LEFFERTS BOULEVARD 11415,karp tavern,American
818 10 AVE 10019,mamasita bar,Mexican
818 54 STREET 11220,funny b.b.q. bar,Chinese
818 WOODWARD AVE 11385,julia's beer and wine bar,American
8205 NORTHERN BOULEVARD 11372,el rumbero bar restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
821113 ELIOT AVE 11379,mooney's public house,Irish
8214 ROOSEVELT AVENUE 11372,gato verde sports bar,Mexican
8267 BROADWAY 11373,winners bar,"Bottled beverages, including water, sodas, juices, etc."
829 FRANKLIN AVE 11225,union street pub,American
83 NORTH    7 STREET 11249,doc wine bar,Italian
8302 NORTHERN BOULEVARD 11372,galicia bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
8311 NORTHERN BLVD 11372,parrilladas sunrise mexican restaurant bar,Mexican
8317 ROOSEVELT AVENUE 11372,el tucanazo bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
832 WESTCHESTER AVENUE 10455,delicious juice bar,"Juice, Smoothies, Fruit Salads"
8322 37 AVENUE 11372,margarita's restaurant & sport bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
834 7TH AVENUE 10019,stagecoach tavern,American
836 9TH AVE 10019,bar bacon,American
836 RIVER AVENUE 10451,stan's sports bar,American
837 7 AVENUE 10019,the irish pub,Irish
84 7TH AVE 10011,bar b,Italian
84 EBONY COURT 11229,tamaqua,"Bottled beverages, including water, sodas, juices, etc."
8407 NORTHERN BOULEVARD 11372,rubi rosa restaurant & bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
8419 NORTHERN BOULEVARD 11372,de la mora restaurant and bar,Spanish
844 RIVER AVENUE 10451,yankee bar & grill/monumental empanadas,American
845 UNITED NATIONS PLAZA 10017,the world bar,American
85 E 4TH ST 10003,red room,"Bottled beverages, including water, sodas, juices, etc."
85 EAST    4 STREET 10003,kgb bar,American
85 PEARL STREET 10004,stone street tavern (@ 52 stone st),American
85 WEST STREET 10006,bill's bar and burger downtown,American
8509 NORTHERN BOULEVARD 11372,kabu bar & lounge,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
8535 GRAND AVENUE 11373,grandstand tavern,Irish
856 KNICKERBOCKER AVE 11207,lopez bar restaurant corp,Spanish
856 RIVER AVENUE 10451,billy's sport bar restaurant & lounge,American
859 9TH AVE 10019,rise bar,American
86 PAGE AVENUE 10309,ziototo restaurante & bar,Italian
8609 NORTHERN BOULEVARD 11372,wine garden cafe,Mediterranean
8622 ROOSEVELT AVENUE 11372,12 corazones restaurant & bar,Spanish
866 MORRIS PARK AVE 10462,lotus flame restaurant & bar,Caribbean
87 CENTRAL AVE 11206,razor's bar & lounge,Other
8703 5 AVENUE 11209,lone star bar & grill,American
8705 NORTHERN BOULEVARD 11372,el paisa bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
8722 LEFFERTS BLVD 11418,c bar & lounge,Caribbean
8748 78 STREET 11421,neir's tavern,American
875 E 241ST ST 10466,island blend juice  bar .,"Juice, Smoothies, Fruit Salads"
8750 LEFFERTS BLVD 11418,m2 billards & lounge,"Bottled beverages, including water, sodas, juices, etc."
8769 SUTPHIN BOULEVARD 11435,maloney's bar,American
879 FOREST AVENUE 10310,rusty's bar,American
88 7 AVENUE 10011,legend bar & restaurant,Chinese
880 EAST TREMONT AVE 10460,roy's restaurnt & bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
880 GERARD AVENUE 10452,vega alta sports bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
8808 ROOSEVELT AVE 11372,tempo libero bar,Spanish
8812 3 AVENUE 11209,bench sport bar,American
8814 LIBERTY AVENUE 11417,mike's tavern,American
884 PACIFIC ST 11238,art cafe + bar,American
885 4 AVENUE 11232,bklyn's tiki bar,American
885 ANNADALE RD 10312,twisted dish tavern,American
889 1 AVENUE 10022,beekman bar & books,American
8902 3 AVENUE 11209,o'sullivan's pub,American
8905 NORTHERN BOULEVARD 11372,riazor blue tapas bar,Spanish
896 BROADWAY 11206,divine bar & grill,American
899 BERGEN ST 11238,berg'n beer hall,American
899 BERGEN ST 11238,ramen burger at berg'n beer hall,American
9 EAST   45 STREET 10017,eamonn's bar and grill,Irish
9 GREAT JONES STREET 10012,acme bar & grill,American
90 GREENWICH AVENUE 10011,johnny's bar,American
90 SOUTH    4 STREET 11249,south 4th bar & cafe,American
901 COLLEGE POINT BLVD 11356,cj's pub,"Bottled beverages, including water, sodas, juices, etc."
9023 3RD AVE 11209,pipins pub,American
9040 160TH ST 11432,best food salad bar,Salads
9044 CORONA AVENUE 11373,la monita juice snack bar,"Juice, Smoothies, Fruit Salads"
91 7TH AVE S 10014,jekyll pub,American
91 GREENPOINT AVENUE 11222,black rabbit bar,American
91-06 43RD AVENUE 11373,mi otra casa rest bar,Spanish
9111 ROCKAWAY BEACH BLVD 11693,sayras wine bar,American
9117 37 AVENUE 11372,la puntilla bar & restaurant,Spanish
913 BROADWAY 10010,punch / wined up,American
919 CROSSBAY BOULEVARD 11693,ruffles bar,"Bottled beverages, including water, sodas, juices, etc."
9206 173 STREET 11433,tropical fantasy bar and lounge,Caribbean
923 8 AVENUE 10019,barcelona bar,"Bottled beverages, including water, sodas, juices, etc."
925 ALLERTON AVENUE 10469,papi nice bar,American
9259 4 AVENUE 11209,kelly's tavern,American
928 BROADWAY 10010,obica mozzarella bar,Italian
929 COLUMBUS AVE 10025,bob's your uncle,"Bottled beverages, including water, sodas, juices, etc."
92A NAGLE AVE 10040,lux bar & grill,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
9301 95 AVENUE 11416,jim byrne wee pub,Irish
9320 AVENUE L 11236,citadelle bar and restaurant,Caribbean
9340 SUTPHIN BOULEVARD 11435,"air bar, ny deli, tim hortons",American
938 AMSTERDAM AVENUE 10025,amsterdam tavern,American
939312 EAST    7 STREET 10009,caracas arepa bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
94 AVENUE A 10009,sidewalk bar & restaurant,American
94 BEDFORD AVENUE 11249,turkey's nest tavern,American
94 ORCHARD STREET 10002,top hops beer shop,American
9402 SUTPHIN BOULEVARD 11435,europa bar,American
9410 ASTORIA BLVD 11369,la kueva bar & grill,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
9410 JAMAICA AVENUE 11421,bicheiros bar,Spanish
9413 37 AVENUE 11372,tacos morelos bar restaurant,Mexican
9425 37TH AVE 11372,fogon latino bar restaurant,Mexican
945 2 AVENUE 10022,crave fish bar,Seafood
946 MANHATTAN AVENUE 11222,la taverna,Italian
95 EAST    3 STREET 10003,the edge bar,American
95 HALSEY STREET 11216,vodou bar,American
95 MACDOUGAL STREET 10012,$1 pizza $2 beer,Pizza
9523 CHURCH AVENUE 11212,azylum bar & lounge,American
9532 QUEENS BOULEVARD 11374,tropix bar & lounge,American
9541 SUTPHIN BOULEVARD 11435,sangria tapas bar & restaurant,Spanish
957 UTICA AVE 11203,executive lounge & bar,Caribbean
958 POST AVENUE 10302,ground level  pub & grub,American
96 AVENUE C 10009,abc beer co.,Sandwiches
96 BERRY ST 11249,teddy's bar & grill,American
960 E 165TH ST 10459,exito bar & lounge,Spanish
9603 101 AVENUE 11416,the quiet man bar,American
9605 METROPOLITAN AVENUE 11375,umi japanese restaurant  sushi bar & teriyaki grill,Japanese
9607 37TH AVE 11368,los chiles bar & restaurant,Mexican
961 2 AVENUE 10022,cornerstone tavern/the stag's head,Irish
9612 31 AVENUE 11369,pa donde tono bar,American
9615D ROOSEVELT AVE 11368,juan bar,Mexican
963 PROSPECT AVENUE 10459,nilda's sport bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
966 EAST  165 STREET 10459,las divas sports bar-n-restaurant,Spanish
97 NASSAU AVENUE 11222,keg and lantern tavern,Irish
97 TRINITY PLACE 10006,wafflaki belgian waffle bar,Pancakes/Waffles
9701 3 AVENUE 11209,pipin's pub,American
9707 37TH AVE 11368,milenio restaurant bar inc,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
9707 JAMAICA AVENUE 11421,tavern lounge,Irish
9712 101ST AVE 11416,el viejo yayo restaurant & bar,Spanish
971B E NEW YORK AVE 11212,goodas bar & lounge,Caribbean
975 2ND AVE 10022,jameson's bar and restaurant,American
977 2 AVENUE 10022,murphy's pub & restaurant,Irish
98 3 AVENUE 10003,bar none,American
98 AVENUE C 10009,lois bar,American
98 VICTORY BLVD 10301,blvd cafe & juice bar,Asian
984 SECOND AVENUE 10022,mimis restaurant & bar,Italian
986 2ND AVE 10022,atwood kitchen & bar,American
98A S 4TH ST 11249,miusa wine bar,American
99 PARK AVENUE 10016,park avenue tavern,American
990 6 AVENUE 10018,jimmys american grill & bar,American
9910 37 AVENUE 11368,el paraiso bar & restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
99-11 37TH AVENUE 11368,la reina del sur restaurant & bar,Mexican
9912 NORTHERN BOULEVARD 11368,manta llave del mar bar restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
995 AMSTERDAM AVENUE 10025,lions head tavern,Armenian
