Address,Name,CUISINE DESCRIPTION
140 1ST AVE 10009,the hard swallow,"Bottled beverages, including water, sodas, juices, etc."
140 ATLANTIC AVE 11201,pair wine and cheese,American
1404 OGDEN AVENUE 10452,el aguila bar restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
1409 MYRTLE AVENUE 11237,mills tavern,American
141 BROADWAY 11211,on track bar (o.t.b.),American
1410 UNIONPORT ROAD 10462,lorraine's bar and grill,American
1413 BUSHWICK AVE 11207,salud bar & grill,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
142 BLEECKER STREET 10012,gmt tavern,American
142 SULLIVAN ST 10012,no. 142 bar,American
1420 CLAY AVE 10456,antojitos & natural juice bar,"Juice, Smoothies, Fruit Salads"
1425 COLLEGE POINT BOULEVARD 11356,a.r's tavern,American
1429 2ND AVE 10021,equinox 74th street juice bar,"Juice, Smoothies, Fruit Salads"
143 E 233RD ST 10470,the hideout tavern,Other
14306 LIBERTY AVE 11435,club vibe bar and cafe,Other
14367 243 STREET 11422,sports mania bar & grill,American
1438 MYRTLE AVE 11237,bootleg bar,American
144 WEST   65 STREET 10023,indie food and wine,American
14407 JAMAICA AVENUE 11435,sabor caribe bar restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
1442 3 AVENUE 10028,mad river bar & grille,American
1442 LEXINGTON AVE 10128,bonjour crepes & wine,French
1448 OLMSTEAD AVENUE 10462,friends sports bar,American
145 AVENUE C 10009,esperanto restaurant bar and jugo,Brazilian
145 BLEECKER STREET 10012,peculiar pub,American
145 E 39TH ST 10016,salvation taco & roof top bar,Not Listed/Not Applicable
145 EAST  149 STREET 10451,glen roy bar and grill,American
145 WEST 44 STREET 10036,charlotte restaurant bar & lounge,American
145 WEST 45 STREET 10036,o'lunney's times square pub,Irish
1455 ST NICHOLAS AVENUE 10033,lucky seven tapas bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
14609 JAMAICA AVENUE 11435,blarney bar,American
